Retail;Enseña;CIUDAD;PROVINCIA;DIRECCIÓN CENTRO;LATITUD;LONGITUD
A;B;BARCELONA;BARCELONA;Calle Conca de Tremp, 110;41.4198109;2.1575284
A;B;BARCELONA;BARCELONA;Calle Rocafort, 15;41.3757123;2.1577051
A;B;BARCELONA;BARCELONA;Carrer Vilamarí, 114-116;41.3804158;2.1476199
A;B;BARCELONA;BARCELONA;Calle Fluvià, 247;41.415906;2.1950152
A;B;BARCELONA;BARCELONA;Calle Pere Iv, 224;41.4043677;2.199164
A;B;BARCELONA;BARCELONA;Calle Espronceda, 107;41.4052717;2.2043305
A;B;BADALONA;BARCELONA;Carrer de Liszt, 28;41.4519868;2.2234664
A;B;HOSPITALET DE LLOBREGAT;BARCELONA;Carrer Riera Blanca, 54;41.3737594;2.1238598
A;B;BARCELONA;BARCELONA;Calle Sant Crist, 37;41.3745303;2.1386811
A;B;SANT BOI DE LLOBREGAT;BARCELONA;Calle Jaume Balmes, 4;41.3380958;2.0415942
A;B;CORNELLÀ DE LLOBREGAT;BARCELONA;Calle Joaquim Rubió I Ors, 290;41.3525806;2.0747118
A;B;BARCELONA;BARCELONA;Calle De La Foneria, 14;41.3596433;2.1371651
A;B;BARCELONA;BARCELONA;Calle Mare De Deu Del Remei, 30-32;41.3730646;2.157205
A;B;BARCELONA;BARCELONA;Calle Independencia, 261;41.4065417;2.184848
A;B;SANT CUGAT DEL VALLES;BARCELONA;Passeig del Nard, 132;41.4676225;2.0441759
A;B;SAN CUGAT DEL VALLÉS;BARCELONA;Avinguda Lluis Companys, 40;41.471377;2.0792107
A;C;LEJONA/LEIOA;BIZKAIA;Ctra. La Avanzada, s/n;43.3270686;-2.9899086
A;C;BILBAO;BIZKAIA;Gabriel Aresti, 36;43.2588309;-2.9054929
A;C;BASAURI;BIZKAIA;Bº Zabalandi, s/n;43.2290959;-2.8804158
A;C;GERNIKA;BIZKAIA;Bº Txaporta, s/n.;43.3058493;-2.678123
A;C;BARAKALDO;BIZKAIA;Bº Kareaga, s/n;43.2859079;-3.0055245
A;C;RIVABELLOSA-Rivera Baja;ALAVA;Polígono SUI 1;42.7121289;-2.9183738
A;C;LEJONA/LEIOA;BIZKAIA;Bº Peruri, s/n;43.3366037;-2.9882918
A;C;ABADIANO;BIZKAIA;Barrio Murueta, s/n;43.1690614;-2.618965
A;C;VITORIA-GASTEIZ;ALAVA;C. Comercial Boulevard C/ Zaramaga 1;42.86152;-2.66749
A;C;CASTRO URDIALES;CANTABRIA;Brazomar, s/n;43.3656297;-3.2159079
A;C;PORTUGALETE;BIZKAIA;Centro Comercial BALLONTI - Avenida Ballonti, 1;43.3116687;-3.0228882
A;C;ORDIZIA;GIPUZKOA;San Bartolome kalea, 7;43.0520025;-2.1788761
A;C;PAMPLONA;NAVARRA;Ctra. San Sebastián, Km. 1;42.834142;-1.6800172
A;C;TUDELA;NAVARRA;Ctra. Zaragoza, s/n;42.0316927;-1.5860163
A;C;AZKOITIA;GIPUZKOA;Polígono Basterretxe, s/n;43.1776439;-2.3109203
A;C;SAN SEBASTIAN;GIPUZKOA;Barrio de Alza, s/n;43.3152889;-1.9514657
A;C;ZARAUTZ;GIPUZKOA;Araba, 41;43.2816274;-2.1648207
A;C;CALAHORRA;LA RIOJA;Ctra. De Logroño, s/n;42.3143891;-1.984223
A;C;EIBAR;GIPUZKOA;Avda. Otaola, 5;43.1828816;-2.4797351
A;C;MALAGA;MALAGA;Centro Comercial Larios – Avda. de la Aurora, s/n;36.7146907;-4.4322004
A;C;TORRE DEL MAR;MALAGA;Centro Comercial EL INGENIO - Avda. Juan Carlos I, s/n;36.7558922;-4.1003431
A;D;ZARAGOZA;ZARAGOZA;C/ MARQUES DE LA CADENA, 44;41.6612581;-0.8636671
A;D;HUESCA;HUESCA;C/ RAMÓN Y CAJAL, 20;42.1393031;-0.4030691
A;D;ZARAGOZA;ZARAGOZA;C/ PANO Y RUATA, 15;41.6614068;-0.8741363
A;D;FRAGA;HUESCA;AVDA. ARAGÓN, 36;41.5218373;0.3412303
A;D;SARIÑENA;HUESCA;C/ FRAGA, 14;41.7923335;-0.155131
A;D;HUESCA;HUESCA;C/ MENENDEZ PIDAL, 30;42.1396889;-0.4186277
A;D;ZARAGOZA;ZARAGOZA;C/ JUAN CARLOS I, 6-8-10;41.6440772;-0.9103927
A;D;ZARAGOZA;ZARAGOZA;AVENIDA SANTA ISABEL ESQUINA CARRETERA DE MOVERA, S/N;41.6692472;-0.8383246
A;D;ZARAGOZA;ZARAGOZA;AVENIDA ILUSTRACIÓN, 111 ESQUINA TOMÁS LEZAUN - URBANIZACIÓN MONTE CANAL;41.62869;-0.9316717
A;D;ZARAGOZA;ZARAGOZA;C/ REINA FABIOLA, 28;41.6450126;-0.8755169
A;D;ZARAGOZA;ZARAGOZA;C/ EL COSO, 126;41.6508764;-0.8754514
A;D;ZARAGOZA;ZARAGOZA;C/DUQUESA DE VILLAHERMOSA 21, 23, 25, 27;41.6484292;-0.9010423
A;D;ALMAZAN;SORIA;CTRA NACIONAL 111- MADRID/PAMPLONA;42.812526;-1.6457745
A;D;ZARAGOZA;ZARAGOZA;Cº DE LAS TORRES, 109;41.537857;-0.8865834
A;D;ZARAGOZA;ZARAGOZA;C/ DOCE DE OCTUBRE, 10;41.6356071;-0.8785897
A;D;ZARAGOZA;ZARAGOZA;C/ DR. CERRADA, 14-16-18;41.647558;-0.8885634
A;D;ZARAGOZA;ZARAGOZA;C/LUIS PINILLA SOLIVERES 4-20.;41.6784917;-0.8706587
A;D;BURGO DE OSMA;SORIA;CTRA. DE LA RASA, S/N;41.5363895;-3.102088
A;D;CALAMOCHA;TERUEL;DESVIO 89, BAJOS;40.9242073;-1.2940252
A;D;PAMPLONA;NAVARRA;C / RAIMUNDO LANAS, 9-11;42.8264661;-1.6513427
A;D;BURLADA;NAVARRA;C / LA FUENTE, 12;42.826569;-1.618033
A;D;PAMPLONA;NAVARRA;C/ FELIPE GORRITI 29;42.8117243;-1.6356967
A;D;ANSOAIN;NAVARRA;C / AVDA. VILLABA, 19 Y 21;42.8337593;-1.6432837
A;D;PAMPLONA;NAVARRA;C/ TAFALLA,25;42.8110423;-1.6389383
A;D;PAMPLONA;NAVARRA;C/ ESQUIROZ 24;42.8055174;-1.6520092
A;D;ZIZUR MAYOR;NAVARRA;PARQUE ERRENIEGA 53-57;42.7853706;-1.6892033
A;D;BURLADA;NAVARRA;C/ MAYOR 20;42.8241747;-1.6179406
A;D;CHANTREA;NAVARRA;C/ CUENCA DE PAMPLONA 58;42.832173;-1.6337603
A;D;PAMPLONA;NAVARRA;C/ MERCADO 7;42.8190943;-1.6446682
A;D;MUTILVA;NAVARRA;C / PASEO SANTXIKI, 3;42.7981399;-1.61338
A;D;TAFALLA;NAVARRA;C / AVDA. PAMPLONA, S/N;42.5358801;-1.6702789
A;D;ZIZUR MAYOR;NAVARRA;PLAZA DE LA MUJER 16;42.7891963;-1.6994531
A;D;PAMPLONA;NAVARRA;C/ CAMINO OZCOZ URRIZA;42.9663794;-1.8318116
A;D;BURLADA;NAVARRA;POLIGONO MUGAZURI 11B;42.8297483;-1.6199999
A;D;ARTICA;NAVARRA;C/ MADRES DE LA PLAZA DE MAYO 40;42.8328791;-1.6638431
A;D;PAMPLONA;NAVARRA;C/ SAN CRISTOBAL 12;42.8259913;-1.6308377
A;D;PERALTA;NAVARRA;CTRA. MARCILLA. PARCELAS 392 Y 716, POL. 10;42.3352162;-1.7894656
A;D;PAMPLONA;NAVARRA;C / SERAFIN OLAVE, 29;42.8072828;-1.6528485
A;D;PAMPLONA;NAVARRA;C/ TAJONAR 3-5;42.8064169;-1.6353086
A;D;PAMPLONA;NAVARRA;C/ AVDA. ZARAGOZA 40-44;42.8042689;-1.6446214
A;D;ESTELLA;NAVARRA;C / MERKATONDOA, 7;42.6629704;-2.0307537
A;D;SAN ADRIAN;NAVARRA;C / LAS ERAS, 5;42.335722;-1.9367994
A;D;LOGROÑO;LA RIOJA;C / AVDA. GONZALO DE BERCEO, 24;42.4662476;-2.4575268
A;D;LOGROÑO;LA RIOJA;C / CHILE, 28;42.4609668;-2.4550515
A;D;ESTELLA;NAVARRA;C / SAN FRANCISCO JAVIER, 16;42.6712748;-2.0354309
A;D;SANTO DOMINGO DE LA CALZADA;LA RIOJA;C / MADRID, 10;42.4387902;-2.9543618
A;D;HARO;LA RIOJA;C / SANTO DOMINGO DE LA CALZADA, 32 A;42.5686254;-2.861067
A;D;ALFARO;LA RIOJA;C / HUERTAS, 4;42.1765447;-1.752568
A;D;TUDELA;NAVARRA;C / JUAN ANTONIO FERNÁNDEZ, 31;42.0594894;-1.6033213
A;D;LOGROÑO;LA RIOJA;C / MARQUÉS DE LA ENSENADA, 35-39;42.4608481;-2.4388472
A;D;ZARAGOZA;ZARAGOZA;C/ FLORIÁN REY, 1-3;41.64923;-0.861622
A;D;CALATAYUD;ZARAGOZA;C/ DR. FLEMING, 2;41.353519;-1.639509
A;D;ZARAGOZA;ZARAGOZA;AVDA MADRID, 135;41.6536225;-0.9032744
A;D;BORJA;ZARAGOZA;POLIGONO LA GORRONA S/N;41.8337231;-1.5341785
A;E;ESPEJO;CÓRDOBA;Calle Batalla Del Salado, 22;37.6799652;-4.5520394
A;E;EL BOSQUE;CÁDIZ;Calle La Rosa, 4;36.758311;-5.5047187
A;E;CÓRDOBA;CÓRDOBA;Calle Antonio Maura, 4;37.8822226;-4.7901199
A;E;BURGUILLOS;SEVILLA;Avenida Cruz De La Ermita, 100;37.5816905;-5.9668075
A;E;GIBRALTAR;GIBRALTAR;10/16 Sir Winston Churchill Avenue;36.140751;-5.353585
A;E;CALANDA;TERUEL;Calle Agustín Plana, 11;40.9391829;-0.2335724
A;E;CADRETE;ZARAGOZA;Calle Miguel Servet, 3;41.5572704;-0.9598732
A;E;EL BURGO DE EBRO;ZARAGOZA;Calle Ramón Pignatelli, 4;41.5725803;-0.7443655
